index1,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences_p,g1_p,g2_p,g3_p,absences_m,g1_m,g2_m,g3_m
0,GP,F,18,U,GT3,A,4,4,at_home,teacher,course,mother,2,2,0,yes,no,no,no,yes,no,no,4,3,4,1,1,3,4.0,0.0,11.0,11.0,6.0,5.0,6.0,6.0
1,GP,F,17,U,GT3,T,1,1,at_home,other,course,father,1,2,0,no,yes,no,no,yes,yes,no,5,3,3,1,1,3,2.0,9.0,11.0,11.0,4.0,5.0,5.0,6.0
2,GP,F,15,U,LE3,T,1,1,at_home,other,other,mother,1,2,0,yes,no,no,no,yes,yes,no,4,3,2,2,3,3,6.0,12.0,13.0,12.0,0.0,0.0,0.0,0.0
3,GP,F,15,U,GT3,T,4,2,health,services,home,mother,1,3,0,no,yes,no,yes,yes,yes,yes,3,2,2,1,1,5,0.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0
4,GP,F,16,U,GT3,T,3,3,other,other,home,father,1,2,0,no,yes,no,no,yes,no,no,4,3,2,1,2,5,0.0,11.0,13.0,13.0,0.0,0.0,0.0,0.0
5,GP,M,16,U,LE3,T,4,3,services,other,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,no,5,4,2,1,2,5,6.0,12.0,12.0,13.0,0.0,0.0,0.0,0.0
6,GP,M,16,U,LE3,T,2,2,other,other,home,mother,1,2,0,no,no,no,no,yes,yes,no,4,4,4,1,1,3,0.0,13.0,12.0,13.0,0.0,12.0,12.0,11.0
7,GP,F,17,U,GT3,A,4,4,other,teacher,home,mother,2,2,0,yes,yes,no,no,yes,no,no,4,1,4,1,1,1,2.0,10.0,13.0,13.0,6.0,6.0,5.0,6.0
8,GP,M,15,U,LE3,A,3,2,services,other,home,mother,1,2,0,no,yes,no,no,yes,yes,no,4,2,2,1,1,1,0.0,15.0,16.0,17.0,0.0,0.0,0.0,0.0
9,GP,M,15,U,GT3,T,3,4,other,other,home,mother,1,2,0,no,yes,no,yes,yes,yes,no,5,5,1,1,1,5,0.0,12.0,12.0,13.0,0.0,0.0,0.0,0.0
10,GP,F,15,U,GT3,T,4,4,teacher,health,reputation,mother,1,2,0,no,yes,no,no,yes,yes,no,3,3,3,1,2,2,2.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0
11,GP,F,15,U,GT3,T,2,1,services,other,reputation,father,3,3,0,no,yes,no,yes,yes,yes,no,5,2,2,1,1,4,0.0,10.0,12.0,13.0,4.0,10.0,12.0,12.0
12,GP,M,15,U,LE3,T,4,4,health,services,course,father,1,1,0,no,yes,no,yes,yes,yes,no,4,3,3,1,3,5,0.0,12.0,13.0,12.0,0.0,0.0,0.0,0.0
13,GP,M,15,U,GT3,T,4,3,teacher,other,course,mother,2,2,0,no,yes,no,no,yes,yes,no,5,4,3,1,2,3,0.0,12.0,12.0,13.0,0.0,0.0,0.0,0.0
14,GP,M,15,U,GT3,A,2,2,other,other,home,other,1,3,0,no,yes,no,no,yes,yes,yes,4,5,2,1,1,3,0.0,14.0,14.0,15.0,0.0,14.0,16.0,16.0
15,GP,F,16,U,GT3,T,4,4,health,other,home,mother,1,1,0,no,yes,no,no,yes,yes,no,4,4,4,1,2,2,6.0,17.0,17.0,17.0,4.0,14.0,14.0,14.0
